Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
43796,130.0,C ,3.0,1.0,84.0,3.0,32.6,25.0,28.1,6.1
43797,170.0,C ,3.0,1.0,74.0,2.8,34.0,25.0,29.7,7.0
43798,110.0,SE,4.0,2.0,77.0,7.5,33.6,26.0,29.2,0.0
43799,230.0,C ,2.0,1.0,83.0,6.5,33.2,26.0,27.8,3.0
43800,120.0,C ,4.0,1.0,74.0,3.3,34.5,25.0,30.2,4.3
43801,180.0,C ,2.0,0.0,79.0,8.8,33.4,25.0,29.4,4.5
43802,220.0,W ,5.0,2.0,84.0,4.9,32.0,,27.3,8888.0
43803,270.0,W ,3.0,2.0,77.0,5.4,34.0,25.0,29.4,9.9
43804,290.0,W ,4.0,2.0,79.0,8.1,32.6,24.0,28.7,7.9
43805,280.0,W ,4.0,2.0,83.0,5.6,31.0,26.0,28.2,
43806,240.0,C ,4.0,1.0,86.0,0.0,30.1,25.0,27.2,0.2
43807,260.0,C ,4.0,2.0,79.0,0.0,32.3,24.0,28.7,2.0
43808,130.0,C ,3.0,1.0,74.0,7.9,33.8,25.0,29.3,
43809,260.0,C ,3.0,1.0,90.0,6.9,29.5,25.0,26.5,11.5
43810,100.0,S ,3.0,2.0,83.0,0.7,32.6,,26.9,33.8
43811,70.0,C ,3.0,1.0,86.0,6.8,29.0,23.0,26.4,6.5
43812,190.0,C ,5.0,2.0,80.0,0.6,32.6,,28.1,0.0
43813,290.0,C ,5.0,2.0,74.0,4.7,32.3,24.0,28.9,
43814,210.0,W ,3.0,1.0,80.0,7.1,31.6,,28.0,0.0
43815,250.0,C ,3.0,1.0,84.0,2.4,31.2,25.0,27.7,2.0
43816,270.0,C ,4.0,1.0,89.0,0.1,32.1,24.0,26.8,1.7
43817,60.0,C ,3.0,1.0,82.0,4.3,32.8,,27.5,13.3
43818,270.0,W ,4.0,2.0,82.0,7.3,32.6,24.0,28.2,8888.0
43819,250.0,C ,3.0,1.0,76.0,5.5,33.2,25.0,29.2,8888.0
43820,200.0,C ,3.0,1.0,78.0,6.2,33.4,25.0,29.4,8888.0
43821,260.0,C ,3.0,1.0,86.0,5.4,32.4,,27.3,41.7
43822,70.0,C ,5.0,2.0,83.0,4.1,33.6,24.0,27.3,5.4
43823,50.0,E ,3.0,2.0,79.0,6.5,33.2,25.0,28.6,8888.0
43824,300.0,C ,2.0,0.0,94.0,6.8,30.6,24.0,26.2,25.2
43825,240.0,S ,3.0,1.0,86.0,0.0,31.4,24.0,26.8,0.3
43826,250.0,C ,3.0,1.0,88.0,5.2,32.0,24.0,27.0,4.1
43827,60.0,C ,4.0,1.0,88.0,2.9,29.5,24.0,26.9,17.6
43828,260.0,C ,3.0,1.0,86.0,1.7,29.8,,27.3,8888.0
43829,240.0,C ,4.0,2.0,80.0,1.4,32.1,25.0,28.6,0.6
43830,270.0,W ,4.0,2.0,84.0,5.6,32.2,25.0,27.9,
43831,230.0,C ,2.0,1.0,98.0,4.3,28.3,22.6,24.6,208.9
43832,280.0,W ,4.0,2.0,90.0,0.0,27.0,23.2,26.6,43.9
43833,300.0,W ,4.0,3.0,86.0,6.0,30.1,,27.7,1.3
43834,250.0,W ,4.0,2.0,88.0,2.4,30.4,25.0,27.4,1.0
43835,300.0,C ,3.0,1.0,88.0,0.5,30.5,24.8,27.3,0.2
43836,310.0,C ,4.0,1.0,92.0,0.3,28.8,,26.1,22.5
43837,240.0,W ,4.0,2.0,90.0,0.5,33.8,23.4,26.9,2.2
43838,260.0,C ,2.0,0.0,91.0,4.3,31.2,24.1,26.5,18.0
43839,260.0,W ,4.0,2.0,92.0,1.3,29.3,24.4,26.6,7.5
43840,270.0,W ,4.0,2.0,96.0,0.0,28.4,22.8,24.8,15.2
43841,220.0,W ,5.0,3.0,87.0,,28.0,22.8,26.5,1.1
43842,260.0,W ,4.0,2.0,81.0,2.2,30.0,23.6,27.9,
43843,270.0,W ,4.0,2.0,83.0,6.9,31.7,24.8,28.0,1.2
43844,250.0,W ,5.0,2.0,78.0,2.7,30.9,25.0,28.6,8888.0
43845,310.0,C ,3.0,2.0,86.0,8.1,33.1,24.2,27.2,6.5
43846,250.0,C ,4.0,2.0,83.0,4.2,36.4,24.2,27.7,0.0
43847,240.0,C ,5.0,2.0,82.0,6.6,32.6,25.0,28.4,3.0
43848,250.0,C ,2.0,1.0,88.0,6.5,31.8,23.3,26.6,74.0
43849,280.0,C ,4.0,2.0,82.0,2.8,30.6,23.4,28.1,0.1
43850,310.0,C ,4.0,1.0,83.0,7.7,,26.2,28.4,
43851,320.0,C ,6.0,2.0,84.0,1.8,31.8,25.0,28.1,2.5
43852,230.0,C ,4.0,1.0,87.0,3.2,31.6,25.2,28.1,8888.0
43853,100.0,C ,3.0,1.0,85.0,1.6,30.8,26.0,28.3,1.0
43854,210.0,C ,2.0,0.0,,5.1,32.2,25.8,,3.9
43855,270.0,SW,4.0,2.0,92.0,0.0,31.4,24.8,26.6,4.3
43856,270.0,C ,4.0,2.0,84.0,0.2,29.0,24.6,27.9,1.2
43857,170.0,C ,4.0,1.0,83.0,5.9,32.4,24.4,27.8,12.5
43858,190.0,C ,3.0,1.0,81.0,4.6,31.8,25.2,28.7,0.2
43859,240.0,C ,4.0,2.0,79.0,5.2,32.4,25.8,29.2,8888.0
43860,270.0,C ,3.0,2.0,83.0,6.3,33.4,23.5,27.2,1.5
43861,240.0,C ,5.0,2.0,90.0,2.2,33.2,24.0,27.1,1.3
43862,110.0,C ,2.0,1.0,97.0,0.0,29.2,22.8,25.2,61.3
43863,260.0,C ,3.0,0.0,91.0,0.9,33.8,23.8,26.0,24.6
43864,280.0,C ,3.0,1.0,94.0,0.0,28.1,23.3,25.8,11.9
43865,240.0,W ,5.0,2.0,90.0,0.0,29.4,24.4,26.4,4.7
43866,260.0,W ,6.0,2.0,90.0,2.0,31.2,25.4,27.0,0.8
43867,250.0,W ,4.0,1.0,93.0,2.2,27.7,24.4,26.2,26.4
43868,180.0,C ,5.0,2.0,90.0,0.0,33.2,24.8,26.7,0.2
43869,270.0,C ,4.0,2.0,88.0,2.0,30.4,23.8,26.6,27.5
43870,260.0,W ,4.0,2.0,87.0,5.4,30.0,23.0,26.0,11.0
43871,250.0,W ,5.0,3.0,78.0,1.1,33.2,24.4,28.1,4.5
43872,160.0,W ,4.0,2.0,78.0,7.3,33.2,25.8,29.0,
43873,110.0,E ,4.0,2.0,77.0,5.7,33.0,25.8,28.8,
43874,280.0,W ,4.0,2.0,80.0,5.4,31.7,26.3,28.8,
43875,250.0,C ,4.0,1.0,87.0,2.8,29.3,26.0,27.4,
43876,290.0,C ,4.0,2.0,84.0,2.9,32.8,25.2,27.6,2.8
43877,280.0,SW,4.0,2.0,88.0,6.1,31.0,25.0,26.5,8888.0
43878,240.0,C ,3.0,0.0,91.0,2.1,31.0,23.8,26.3,13.8
43879,270.0,W ,4.0,2.0,87.0,0.2,30.0,23.8,26.5,21.5
43880,280.0,W ,5.0,2.0,86.0,3.7,29.5,24.2,26.8,
43881,280.0,W ,6.0,2.0,90.0,0.9,29.8,24.0,26.5,30.3
43882,260.0,W ,5.0,2.0,85.0,1.3,31.0,23.8,27.3,14.7
43883,260.0,C ,5.0,2.0,85.0,5.7,31.4,24.4,27.9,30.0
43884,300.0,W ,5.0,2.0,88.0,7.6,32.0,22.7,27.6,44.8
43885,270.0,W ,5.0,3.0,84.0,6.5,31.0,24.8,28.1,17.3
43886,310.0,C ,3.0,1.0,90.0,4.2,29.9,24.6,26.9,86.7
43887,300.0,SW,5.0,2.0,84.0,0.6,32.8,24.6,27.8,2.1
43888,260.0,W ,5.0,2.0,86.0,3.8,30.4,24.8,27.7,5.0
43889,280.0,C ,3.0,1.0,88.0,2.3,30.1,25.0,27.2,10.0
43890,280.0,C ,5.0,2.0,90.0,1.5,34.8,25.2,27.0,8888.0
43891,260.0,W ,4.0,2.0,90.0,0.0,29.8,24.8,27.4,21.5
43892,270.0,W ,5.0,2.0,85.0,0.0,31.8,,28.1,7.6
43893,260.0,W ,5.0,2.0,79.0,7.8,33.0,24.8,28.9,
43894,250.0,W ,5.0,2.0,87.0,8.8,31.8,25.4,27.4,
43895,260.0,W ,4.0,2.0,84.0,3.6,29.4,24.8,26.9,2.9
43896,250.0,W ,5.0,3.0,81.0,0.3,33.0,24.8,28.5,2.5
43897,240.0,W ,5.0,3.0,76.0,8.8,32.6,25.0,28.2,
43898,240.0,W ,5.0,2.0,80.0,5.2,32.8,25.7,28.4,
43899,230.0,SW,5.0,3.0,76.0,4.2,32.8,23.8,28.7,0.2
43900,260.0,W ,5.0,2.0,77.0,5.4,33.6,25.8,29.2,
43901,250.0,C ,3.0,1.0,84.0,6.9,32.4,26.3,28.9,5.0
43902,260.0,C ,5.0,1.0,89.0,4.7,30.0,24.6,27.2,12.3
43903,250.0,W ,5.0,2.0,84.0,1.0,31.6,23.8,27.4,15.8
43904,260.0,W ,3.0,1.0,81.0,6.7,33.0,,29.0,
43905,210.0,C ,5.0,1.0,83.0,7.2,36.2,,28.5,4.2
43906,240.0,C ,5.0,2.0,88.0,5.2,32.4,25.2,27.1,6.5
43907,220.0,C ,3.0,1.0,80.0,4.1,32.6,24.4,28.6,35.8
43908,260.0,C ,3.0,1.0,93.0,8.9,30.8,25.4,26.5,8.9
43909,260.0,C ,4.0,1.0,90.0,0.0,30.4,24.8,26.5,11.9
43910,230.0,C ,2.0,1.0,89.0,1.6,30.9,24.4,26.1,15.5
43911,100.0,E ,3.0,1.0,85.0,2.8,31.5,23.2,27.4,44.6
43912,140.0,C ,3.0,1.0,86.0,4.8,30.4,24.0,27.1,
43913,180.0,C ,3.0,1.0,84.0,4.3,31.8,24.0,27.4,30.0
43914,240.0,C ,4.0,1.0,86.0,2.5,30.4,24.8,27.1,9.7
43915,200.0,C ,4.0,1.0,82.0,3.7,32.2,24.4,27.9,5.8
43916,60.0,C ,2.0,1.0,81.0,5.2,31.0,,28.4,
43917,230.0,C ,3.0,1.0,85.0,1.2,31.4,25.4,27.9,0.5
43918,270.0,W ,3.0,1.0,82.0,3.2,32.0,25.6,28.4,
43919,240.0,C ,4.0,2.0,82.0,4.0,32.2,26.4,28.6,
43920,250.0,C ,4.0,1.0,88.0,4.6,32.4,25.8,26.8,2.5
43921,280.0,C ,3.0,1.0,85.0,3.6,33.6,25.0,27.6,20.9
43922,290.0,C ,3.0,1.0,80.0,6.3,32.2,25.0,28.2,4.4
43923,240.0,SW,5.0,3.0,79.0,5.7,33.5,25.0,28.7,
43924,250.0,W ,6.0,2.0,82.0,8.5,32.4,,28.2,
43925,270.0,C ,5.0,2.0,78.0,7.2,32.6,26.2,29.6,8888.0
43926,180.0,C ,3.0,1.0,83.0,6.9,32.8,26.4,28.2,
43927,230.0,C ,3.0,1.0,87.0,3.8,32.4,,27.6,6.0
43928,240.0,W ,5.0,3.0,83.0,2.5,32.6,24.8,28.0,6.5
43929,190.0,C ,3.0,1.0,84.0,7.8,30.8,25.6,27.5,8888.0
43930,240.0,C ,3.0,0.0,88.0,3.6,30.4,25.8,27.8,11.2
43931,250.0,C ,5.0,1.0,87.0,1.6,32.6,25.8,27.8,7.0
43932,50.0,C ,4.0,1.0,84.0,3.8,33.2,25.2,28.3,30.5
43933,200.0,C ,4.0,1.0,84.0,5.6,32.8,25.6,28.5,5.7
43934,250.0,E ,3.0,1.0,88.0,6.5,32.6,25.6,27.7,0.6
43935,200.0,C ,3.0,1.0,88.0,5.9,32.7,24.8,27.5,5.6
43936,150.0,C ,3.0,1.0,88.0,4.2,30.6,25.4,27.6,20.6
43937,60.0,SE,3.0,1.0,83.0,2.8,32.8,25.4,28.6,3.2
43938,200.0,C ,4.0,1.0,80.0,6.7,32.8,26.0,29.1,
43939,250.0,C ,3.0,1.0,81.0,7.1,32.6,24.8,27.9,0.0
43940,40.0,C ,3.0,1.0,79.0,5.6,33.9,25.5,29.3,8888.0
43941,70.0,C ,4.0,1.0,76.0,8.2,34.6,25.8,30.1,
43942,90.0,E ,4.0,2.0,75.0,9.0,32.0,26.0,29.4,
43943,120.0,E ,4.0,2.0,72.0,1.3,34.3,25.8,29.3,
43944,70.0,NE,4.0,2.0,74.0,9.6,34.8,26.4,30.4,0.0
43945,60.0,C ,3.0,1.0,84.0,7.7,32.4,26.8,27.3,8888.0
43946,60.0,C ,4.0,1.0,76.0,3.5,32.4,24.3,28.0,18.0
43947,210.0,SW,3.0,1.0,83.0,3.5,33.0,24.2,27.9,
43948,20.0,C ,3.0,1.0,90.0,5.0,31.8,25.2,27.1,13.6
43949,270.0,C ,4.0,1.0,89.0,2.5,31.2,24.8,26.7,79.5
43950,70.0,C ,2.0,1.0,90.0,1.1,30.8,24.4,26.2,1.2
43951,60.0,NE,3.0,1.0,88.0,3.9,30.0,24.4,27.0,47.4
43952,260.0,C ,3.0,1.0,87.0,0.3,29.9,24.8,27.2,29.0
43953,50.0,C ,2.0,0.0,88.0,0.0,29.1,23.8,26.0,1.3
43954,60.0,NE,3.0,1.0,80.0,0.0,32.8,24.4,28.1,0.3
43955,60.0,E ,3.0,1.0,82.0,3.5,29.8,24.4,27.9,
43956,40.0,E ,4.0,2.0,78.0,0.3,33.7,25.6,29.3,1.5
43957,2.0,C ,4.0,2.0,85.0,8.6,32.6,26.0,27.9,
43958,50.0,NE,4.0,2.0,80.0,5.1,33.4,25.0,28.7,70.2
43959,60.0,C ,2.0,0.0,88.0,8.8,32.8,26.8,27.7,0.0
43960,50.0,C ,2.0,1.0,88.0,4.2,29.6,25.8,27.3,22.4
43961,110.0,C ,4.0,1.0,86.0,0.0,31.7,,27.6,8888.0
43962,60.0,NE,4.0,2.0,80.0,5.1,34.2,25.8,28.8,0.3
43963,110.0,C ,2.0,1.0,79.0,2.6,33.8,26.0,29.1,
43964,90.0,C ,3.0,1.0,80.0,7.6,32.4,25.6,28.9,13.9
43965,60.0,E ,4.0,2.0,75.0,2.7,33.3,26.4,29.3,0.0
43966,70.0,E ,5.0,2.0,74.0,5.6,33.6,26.4,29.5,0.0
43967,60.0,NE,6.0,3.0,77.0,9.2,34.4,25.8,29.3,
43968,120.0,C ,4.0,1.0,76.0,10.1,34.0,26.8,29.9,
43969,70.0,C ,3.0,1.0,88.0,6.5,31.0,26.6,27.1,
43970,50.0,NE,3.0,1.0,80.0,0.5,33.4,23.6,28.3,19.1
43971,300.0,E ,3.0,2.0,80.0,5.4,33.6,27.0,28.8,
43972,230.0,C ,4.0,1.0,82.0,5.9,32.6,24.7,28.2,19.4
43973,280.0,E ,3.0,1.0,77.0,3.0,33.2,25.0,29.5,0.0
43974,260.0,C ,4.0,2.0,76.0,5.2,33.5,26.1,29.4,0.6
43975,250.0,SW,5.0,3.0,72.0,7.9,34.6,25.8,29.8,
43976,250.0,SW,4.0,2.0,75.0,9.4,34.6,26.0,29.8,
43977,260.0,W ,5.0,2.0,82.0,7.3,33.2,26.2,29.0,
43978,260.0,C ,4.0,1.0,80.0,4.9,33.2,26.0,28.8,0.0
43979,90.0,C ,3.0,1.0,80.0,3.1,32.6,26.2,28.9,
43980,120.0,C ,5.0,1.0,78.0,2.1,34.4,26.6,29.2,0.1
43981,50.0,NE,4.0,2.0,78.0,6.0,33.6,25.8,28.3,
43982,250.0,C ,2.0,1.0,82.0,6.6,32.4,26.4,28.5,0.0
43983,60.0,E ,4.0,2.0,81.0,3.1,32.8,25.4,27.9,6.9
43984,70.0,E ,3.0,2.0,75.0,6.3,33.8,25.8,29.0,
43985,100.0,E ,4.0,2.0,87.0,8.2,32.3,25.8,26.9,0.2
43986,100.0,E ,5.0,3.0,74.0,5.1,33.8,25.4,28.7,10.2
43987,290.0,C ,3.0,1.0,78.0,8.6,32.4,26.2,28.5,
43988,120.0,C ,3.0,1.0,77.0,1.7,32.6,25.8,28.4,1.5
43989,50.0,C ,3.0,1.0,75.0,1.9,32.8,26.0,28.7,0.0
43990,80.0,E ,4.0,2.0,80.0,2.8,32.6,26.6,28.8,
43991,160.0,C ,3.0,1.0,86.0,6.6,30.4,26.0,27.3,14.2
43992,50.0,NE,4.0,2.0,77.0,1.8,33.8,25.6,28.6,8888.0
43993,50.0,NE,4.0,2.0,74.0,5.5,33.4,26.8,29.5,
43994,100.0,NE,3.0,2.0,77.0,5.9,33.4,25.6,28.6,3.0
43995,100.0,C ,2.0,1.0,75.0,7.1,33.2,25.6,28.7,0.0
43996,130.0,NE,5.0,2.0,73.0,6.0,34.7,25.8,29.6,1.5
43997,60.0,NE,4.0,2.0,77.0,9.9,34.6,25.7,29.7,
43998,50.0,E ,4.0,2.0,78.0,0.1,33.4,27.0,29.5,0.0
43999,40.0,E ,4.0,2.0,71.0,5.6,34.2,26.0,29.3,
44000,80.0,C ,3.0,1.0,74.0,8.3,33.6,26.2,29.5,0.0
44001,80.0,C ,3.0,1.0,82.0,4.4,31.8,26.4,28.2,
44002,60.0,C ,2.0,1.0,72.0,0.0,34.0,25.7,29.5,0.5
44003,50.0,C ,5.0,1.0,78.0,8.8,33.2,26.2,28.7,
44004,90.0,C ,4.0,1.0,78.0,4.9,31.4,26.2,28.0,
44005,100.0,C ,3.0,1.0,79.0,2.0,32.4,21.2,28.0,1.8
44006,60.0,C ,5.0,1.0,82.0,3.9,32.3,25.2,27.3,
44007,90.0,E ,3.0,2.0,76.0,5.4,33.6,25.2,28.5,2.4
44008,100.0,C ,3.0,1.0,78.0,8.3,33.0,26.0,28.8,
44009,70.0,E ,4.0,2.0,74.0,6.7,33.4,26.2,29.1,0.0
44010,80.0,C ,2.0,1.0,70.0,2.6,33.1,26.6,29.4,
44011,110.0,E ,4.0,2.0,66.0,5.5,37.2,26.6,29.7,
44012,60.0,E ,4.0,2.0,71.0,8.7,32.6,26.0,28.8,
44013,70.0,E ,4.0,1.0,72.0,6.6,33.8,25.8,28.9,0.0
44014,250.0,C ,3.0,1.0,88.0,7.1,31.8,26.6,26.3,0.0
44015,190.0,C ,3.0,1.0,80.0,0.7,32.6,24.8,27.8,34.9
44016,50.0,NE,3.0,2.0,76.0,2.8,32.5,25.0,28.1,
44017,120.0,E ,5.0,3.0,70.0,1.4,35.8,25.2,28.3,8888.0
44018,60.0,E ,4.0,2.0,70.0,9.8,33.6,24.4,28.5,0.0
44019,60.0,E ,3.0,1.0,75.0,8.3,33.4,24.8,28.4,8888.0
44020,180.0,E ,4.0,2.0,74.0,8.6,33.4,24.7,28.6,0.0
44021,60.0,C ,3.0,1.0,75.0,6.9,32.6,24.4,27.7,0.1
44022,31.0,C ,3.0,1.0,77.0,3.5,31.2,25.2,27.8,0.0
44023,70.0,C ,3.0,1.0,74.0,0.0,35.8,25.4,28.6,
44024,170.0,C ,3.0,1.0,76.0,8.8,33.2,25.8,28.8,
44025,60.0,E ,3.0,2.0,74.0,6.2,32.2,26.0,28.7,
44026,96.0,C ,3.0,1.0,77.0,1.2,31.8,26.0,28.3,0.0
44027,80.0,E ,4.0,2.0,80.0,4.1,31.8,25.2,27.2,4.0
44028,90.0,NE,4.0,2.0,79.0,0.0,31.2,25.2,28.1,2.4
44029,80.0,E ,3.0,1.0,70.0,0.4,33.8,25.0,29.0,0.0
44030,180.0,C ,3.0,1.0,76.0,8.6,33.4,25.3,28.8,
44031,100.0,C ,3.0,1.0,75.0,8.4,34.0,25.8,28.8,
44032,190.0,C ,2.0,0.0,76.0,5.8,32.2,26.2,28.1,
44033,100.0,C ,2.0,1.0,82.0,5.2,32.6,25.0,27.9,4.7
44034,50.0,C ,4.0,2.0,76.0,5.2,33.2,25.2,28.6,0.8
44035,200.0,C ,3.0,1.0,73.0,8.3,33.2,26.3,29.0,
44036,120.0,S ,3.0,1.0,80.0,2.0,33.4,25.8,28.9,0.5
44037,60.0,S ,4.0,2.0,70.0,7.9,,25.4,28.9,
44038,80.0,NE,4.0,2.0,68.0,9.3,33.0,25.0,28.1,
44039,140.0,C ,4.0,2.0,68.0,9.9,33.4,25.0,28.2,0.0
44040,130.0,S ,7.0,2.0,68.0,9.7,33.6,,28.1,
44041,180.0,C ,3.0,1.0,70.0,8.6,34.0,24.6,28.3,
44042,230.0,C ,3.0,1.0,71.0,8.5,32.4,24.6,28.7,0.0
44043,140.0,C ,4.0,2.0,60.0,6.1,33.0,24.4,28.0,
44044,70.0,C ,3.0,1.0,61.0,9.1,34.0,23.2,27.7,0.0
44045,230.0,C ,3.0,1.0,70.0,9.9,33.8,23.4,28.2,
44046,70.0,C ,4.0,2.0,71.0,8.3,35.0,23.4,28.6,
44047,80.0,E ,3.0,1.0,70.0,7.9,33.0,23.8,29.0,0.0
44048,270.0,C ,2.0,1.0,76.0,1.4,33.4,25.4,28.0,
44049,150.0,C ,3.0,1.0,74.0,4.0,34.8,25.6,28.9,0.0
44050,120.0,C ,3.0,1.0,76.0,3.3,34.3,26.2,29.2,
44051,220.0,C ,3.0,1.0,78.0,8.9,33.2,26.3,28.7,0.0
44052,200.0,C ,3.0,1.0,78.0,4.4,33.6,,28.7,7.5
44053,90.0,NE,3.0,2.0,76.0,8.2,33.8,25.6,28.9,1.5
44054,160.0,C ,3.0,1.0,89.0,8.7,35.0,26.6,26.2,0.0
44055,60.0,E ,5.0,2.0,78.0,1.2,32.8,,28.3,37.2
44056,80.0,C ,5.0,0.0,88.0,3.0,30.3,26.6,26.4,
44057,100.0,C ,3.0,1.0,88.0,1.3,32.0,23.4,26.4,28.7
44058,70.0,E ,3.0,2.0,82.0,1.9,34.0,24.6,27.8,3.0
44059,100.0,C ,4.0,1.0,76.0,9.9,33.4,24.8,28.5,0.0
44060,50.0,E ,3.0,2.0,74.0,9.5,33.9,25.4,28.9,0.0
44061,100.0,C ,3.0,1.0,86.0,9.3,32.8,24.0,26.6,6.7
44062,30.0,C ,3.0,1.0,77.0,4.4,34.4,24.2,28.3,1.1
44063,80.0,NE,4.0,2.0,74.0,8.3,33.0,24.4,29.0,
44064,50.0,NE,4.0,3.0,72.0,7.5,33.4,24.4,28.4,
44065,60.0,E ,4.0,2.0,64.0,9.0,34.4,24.2,28.8,
44066,60.0,E ,3.0,2.0,70.0,9.6,35.0,25.6,29.4,0.0
44067,60.0,NE,6.0,2.0,71.0,9.8,33.0,24.6,28.4,0.0
44068,50.0,E ,5.0,2.0,65.0,6.1,34.8,24.2,28.5,0.0
44069,60.0,C ,3.0,1.0,70.0,9.7,34.0,25.2,28.9,
44070,90.0,E ,4.0,2.0,65.0,9.9,34.4,24.0,28.6,
44071,60.0,NE,4.0,2.0,66.0,9.8,35.0,24.2,28.5,0.0
44072,70.0,E ,5.0,2.0,66.0,9.8,35.6,25.6,29.4,
44073,50.0,NE,4.0,2.0,72.0,7.1,34.8,26.0,29.0,
44074,50.0,NE,4.0,2.0,72.0,6.4,34.2,25.6,29.1,
44075,190.0,C ,4.0,2.0,66.0,9.1,35.2,25.0,29.1,
44076,180.0,C ,3.0,1.0,74.0,8.7,33.2,,27.8,
44077,60.0,NE,5.0,2.0,74.0,3.0,33.6,25.0,28.6,2.5
44078,60.0,NE,6.0,2.0,71.0,4.8,34.8,25.8,29.6,0.0
44079,160.0,C ,3.0,1.0,75.0,7.8,34.8,25.8,30.1,
44080,230.0,S ,3.0,1.0,76.0,7.7,33.8,24.6,28.5,0.0
44081,80.0,C ,4.0,1.0,69.0,5.9,34.2,24.8,29.2,
44082,50.0,NE,6.0,3.0,62.0,9.1,35.0,24.8,29.6,
44083,90.0,E ,4.0,2.0,65.0,9.0,34.8,25.0,30.0,0.0
44084,190.0,C ,3.0,1.0,74.0,8.0,35.2,26.2,28.8,0.0
44085,190.0,C ,3.0,1.0,75.0,3.6,33.6,25.2,28.8,3.0
44086,210.0,C ,3.0,1.0,72.0,3.7,34.2,25.4,29.4,0.0
44087,160.0,S ,3.0,2.0,68.0,5.4,35.0,25.4,29.4,8888.0
44088,140.0,C ,3.0,1.0,78.0,6.4,32.4,25.4,27.1,2.0
44089,,,,,,,,,,
44090,,,,,,,,,,
44091,,,,,,,,,,
44092,,,,,,,,,,
44093,,,,,,,,,,
44094,,,,,,,,,,
44095,,,,,,,,,,
44096,,,,,,,,,,
44097,,,,,,,,,,
44098,,,,,,,,,,
44099,,,,,,,,,,
44100,,,,,,,,,,
44101,,,,,,,,,,
44102,90.0,E ,3.0,2.0,71.0,5.4,34.8,25.0,29.0,0.0
44103,80.0,C ,3.0,1.0,69.0,7.4,34.1,25.0,29.1,0.0
44104,70.0,E ,4.0,2.0,65.0,6.5,35.1,25.2,29.8,
44105,50.0,E ,5.0,2.0,69.0,10.2,34.6,26.6,30.0,
44106,110.0,C ,4.0,2.0,80.0,8.7,34.2,25.6,27.6,
44107,260.0,C ,3.0,1.0,84.0,7.2,31.2,24.7,26.7,20.6
44108,180.0,S ,3.0,2.0,72.0,2.0,33.5,24.1,29.1,23.7
44109,180.0,C ,3.0,1.0,72.0,8.5,33.4,22.4,28.3,67.5
44110,200.0,C ,3.0,1.0,70.0,8.0,33.2,24.1,28.7,0.0
44111,130.0,C ,3.0,1.0,72.0,7.1,33.0,,28.4,
44112,260.0,S ,3.0,2.0,68.0,8.5,33.8,25.0,29.1,
44113,280.0,C ,2.0,1.0,91.0,5.6,29.8,24.6,25.9,12.6
44114,150.0,S ,3.0,1.0,79.0,0.6,31.6,24.6,28.0,43.5
44115,150.0,C ,3.0,1.0,82.0,1.2,31.6,24.1,28.0,65.0
44116,70.0,C ,3.0,1.0,76.0,4.3,32.8,25.0,28.7,0.0
44117,70.0,C ,3.0,1.0,74.0,4.0,32.4,25.4,28.7,
44118,260.0,C ,3.0,1.0,79.0,4.9,33.2,25.6,28.8,
44119,100.0,S ,3.0,1.0,70.0,7.0,34.2,25.4,29.8,8888.0
44120,270.0,C ,3.0,1.0,80.0,6.6,33.8,26.2,27.9,0.0
44121,180.0,C ,2.0,0.0,81.0,3.0,32.1,23.7,28.0,76.0
44122,70.0,SW,2.0,1.0,85.0,4.5,30.4,25.2,26.6,8888.0
44123,180.0,C ,4.0,1.0,88.0,4.0,31.0,25.0,26.8,41.2
44124,200.0,C ,3.0,1.0,82.0,3.5,32.6,24.0,27.4,17.0
44125,160.0,C ,3.0,0.0,85.0,7.5,32.2,24.1,27.4,0.2
44126,260.0,W ,5.0,2.0,82.0,2.8,32.2,24.6,27.8,6.0
44127,250.0,W ,6.0,3.0,73.0,5.4,33.0,24.4,28.8,0.0
44128,60.0,C ,3.0,1.0,76.0,5.9,33.3,25.0,29.1,
44129,260.0,C ,3.0,1.0,90.0,7.6,31.6,25.0,26.1,8888.0
44130,240.0,C ,4.0,1.0,87.0,3.8,31.8,24.2,26.2,19.5
44131,60.0,C ,3.0,0.0,89.0,2.7,31.4,23.0,26.0,79.1
44132,50.0,SW,3.0,1.0,78.0,1.3,32.8,24.2,28.4,3.6
44133,70.0,E ,4.0,2.0,74.0,8.7,33.4,25.2,29.1,0.0
44134,50.0,E ,5.0,2.0,75.0,,31.4,25.6,28.9,0.0
44135,260.0,C ,3.0,1.0,84.0,2.3,32.0,24.2,27.1,8888.0
44136,220.0,C ,4.0,2.0,90.0,3.2,31.6,24.2,26.0,3.7
44137,270.0,W ,4.0,3.0,85.0,4.6,31.6,24.2,27.1,15.6
44138,270.0,S ,3.0,2.0,81.0,1.9,32.8,24.6,28.4,8888.0
44139,260.0,C ,3.0,1.0,80.0,6.9,33.0,24.6,28.0,0.3
44140,0.0,C ,0.0,0.0,88.0,4.0,28.9,,26.3,5.8
44141,80.0,C ,3.0,1.0,86.0,0.0,31.7,25.0,27.3,4.5
44142,100.0,C ,3.0,1.0,80.0,2.6,32.8,24.2,27.7,9.2
