Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
43541,260.0,C ,4.0,1.0,81.0,3.3,31.7,,27.5,
43542,250.0,W ,4.0,2.0,81.0,1.3,32.0,23.6,27.4,
43543,260.0,W ,7.0,4.0,84.0,3.9,29.6,24.2,26.5,1.6
43544,200.0,W ,4.0,2.0,86.0,1.1,32.6,23.6,27.7,
43545,210.0,C ,4.0,1.0,83.0,7.4,32.4,22.4,27.2,
43546,250.0,W ,5.0,3.0,84.0,4.3,31.7,24.0,27.8,31.6
43547,210.0,SW,5.0,3.0,85.0,6.4,35.1,23.6,27.6,
43548,260.0,W ,4.0,3.0,82.0,6.4,32.0,23.6,28.2,
43549,250.0,W ,4.0,2.0,81.0,2.3,32.6,24.8,27.2,
43550,280.0,W ,5.0,2.0,83.0,5.0,33.0,24.8,28.5,0.5
43551,290.0,C ,4.0,1.0,82.0,6.0,32.6,24.4,27.6,19.0
43552,180.0,C ,4.0,2.0,86.0,4.4,33.2,24.8,28.5,0.7
43553,160.0,C ,4.0,1.0,80.0,4.1,33.7,24.1,28.1,8888.0
43554,90.0,E ,3.0,1.0,77.0,9.0,32.6,24.4,28.8,
43555,230.0,C ,3.0,1.0,75.0,3.6,32.5,25.3,27.9,
43556,260.0,C ,3.0,1.0,80.0,3.4,32.6,23.5,26.9,7.5
43557,190.0,C ,4.0,1.0,82.0,6.1,33.0,23.0,27.5,47.4
43558,90.0,C ,3.0,1.0,84.0,5.6,32.2,23.0,27.1,5.4
43559,130.0,C ,3.0,1.0,84.0,7.9,32.6,23.2,28.7,5.2
43560,220.0,C ,4.0,2.0,78.0,7.2,31.8,24.2,28.1,19.6
43561,250.0,C ,12.0,2.0,83.0,4.5,32.6,24.8,27.2,0.8
43562,230.0,C ,4.0,1.0,84.0,4.4,33.0,23.0,26.9,44.3
43563,250.0,C ,3.0,1.0,88.0,6.6,33.2,23.8,28.1,38.5
43564,240.0,E ,3.0,2.0,86.0,6.2,32.8,24.4,28.7,0.0
43565,250.0,C ,3.0,1.0,82.0,5.5,32.3,25.1,28.8,
43566,250.0,W ,6.0,2.0,84.0,6.3,33.8,24.2,29.0,
43567,250.0,C ,3.0,1.0,80.0,8.8,32.4,25.0,28.3,
43568,260.0,SW,4.0,1.0,82.0,2.0,33.6,24.6,28.7,3.7
43569,260.0,C ,3.0,1.0,81.0,5.8,33.9,24.1,28.8,1.3
43570,60.0,C ,3.0,1.0,77.0,9.2,32.6,23.6,28.1,
43571,280.0,C ,2.0,0.0,83.0,3.7,33.0,,27.7,1.0
43572,70.0,C ,3.0,1.0,82.0,6.3,32.6,23.8,28.3,19.0
43573,90.0,E ,4.0,2.0,80.0,8.7,33.6,25.0,29.2,0.0
43574,70.0,E ,3.0,1.0,80.0,7.4,32.4,25.1,28.3,
43575,260.0,C ,2.0,1.0,83.0,4.7,31.6,23.2,27.1,8.7
43576,60.0,E ,4.0,2.0,88.0,3.2,33.2,23.2,29.2,
43577,70.0,E ,5.0,3.0,78.0,4.8,34.7,22.9,29.4,1.4
43578,80.0,E ,4.0,2.0,74.0,9.1,34.2,24.2,30.2,
43579,90.0,C ,4.0,1.0,70.0,7.1,30.6,25.8,26.8,
43580,100.0,E ,3.0,2.0,90.0,0.0,33.2,23.4,28.1,49.6
43581,280.0,C ,4.0,1.0,79.0,7.6,33.2,24.2,27.4,13.2
43582,190.0,C ,4.0,1.0,88.0,5.6,30.2,23.6,26.8,46.7
43583,60.0,C ,3.0,1.0,90.0,,31.5,23.7,27.2,49.6
43584,90.0,C ,3.0,1.0,88.0,6.4,31.4,24.2,27.8,0.2
43585,270.0,C ,5.0,1.0,89.0,2.8,31.6,24.2,27.8,20.7
43586,250.0,W ,6.0,4.0,79.0,4.2,30.6,24.4,27.3,2.7
43587,250.0,W ,4.0,3.0,79.0,5.1,33.6,23.6,28.6,
43588,300.0,C ,3.0,1.0,78.0,8.7,33.0,24.4,28.5,0.0
43589,170.0,C ,4.0,2.0,82.0,6.4,33.0,,28.6,
43590,180.0,C ,4.0,2.0,79.0,9.3,32.4,24.0,28.4,22.2
43591,60.0,C ,3.0,1.0,80.0,7.4,31.8,24.0,28.1,2.2
43592,90.0,C ,3.0,1.0,83.0,2.9,32.5,,28.1,
43593,50.0,C ,3.0,1.0,85.0,6.0,33.2,24.0,27.8,23.0
43594,270.0,C ,3.0,1.0,88.0,5.1,31.8,24.0,27.1,1.3
43595,40.0,C ,4.0,1.0,87.0,5.6,31.6,25.0,27.6,73.4
43596,70.0,E ,3.0,2.0,81.0,3.5,32.4,24.0,28.4,17.8
43597,170.0,NE,3.0,2.0,80.0,5.9,33.2,25.0,28.7,0.0
43598,50.0,C ,3.0,1.0,78.0,5.4,33.6,25.0,28.8,
43599,50.0,NE,4.0,2.0,75.0,6.7,34.2,25.0,29.4,
43600,70.0,C ,3.0,2.0,78.0,7.6,33.2,25.0,28.8,
43601,130.0,C ,3.0,1.0,85.0,4.4,31.9,,28.0,2.1
43602,50.0,C ,3.0,1.0,82.0,4.0,32.2,25.0,28.4,25.9
43603,50.0,C ,4.0,1.0,74.0,5.6,32.6,24.0,28.6,2.5
43604,60.0,S ,3.0,1.0,76.0,6.6,33.0,25.0,28.8,
43605,50.0,E ,3.0,1.0,78.0,5.8,33.4,26.0,29.2,
43606,70.0,E ,3.0,1.0,74.0,4.8,33.4,25.0,29.1,0.0
43607,40.0,E ,3.0,2.0,74.0,7.9,33.4,25.0,29.7,
43608,110.0,E ,4.0,2.0,69.0,9.1,34.6,25.0,29.6,
43609,80.0,E ,5.0,3.0,68.0,9.4,34.2,25.0,29.3,0.0
43610,40.0,E ,2.0,1.0,73.0,9.7,33.0,25.0,29.5,
43611,80.0,C ,3.0,1.0,72.0,8.6,33.8,25.0,29.3,
43612,100.0,NE,3.0,2.0,72.0,8.6,33.4,25.0,29.6,
43613,70.0,E ,4.0,2.0,71.0,6.1,34.3,26.0,29.8,
43614,60.0,E ,4.0,2.0,74.0,9.0,34.4,25.0,29.5,0.0
43615,50.0,NE,5.0,2.0,76.0,9.5,34.2,25.0,29.1,0.0
43616,40.0,NE,4.0,1.0,74.0,8.2,33.7,,29.2,
43617,220.0,C ,3.0,1.0,73.0,9.4,33.7,25.0,29.0,
43618,290.0,C ,4.0,1.0,82.0,6.8,32.6,25.0,27.9,
43619,100.0,C ,2.0,0.0,77.0,4.0,31.6,25.0,27.8,6.1
43620,60.0,NE,4.0,2.0,72.0,1.9,33.5,24.0,28.7,
43621,110.0,E ,4.0,2.0,72.0,6.2,33.8,24.0,29.0,0.0
43622,50.0,E ,4.0,2.0,73.0,9.3,33.6,26.0,29.6,
43623,90.0,C ,3.0,1.0,78.0,6.6,32.9,26.0,28.9,
43624,250.0,S ,3.0,1.0,79.0,6.2,32.4,23.0,27.6,31.6
43625,110.0,C ,3.0,1.0,82.0,7.5,32.2,23.0,27.8,39.4
43626,160.0,C ,2.0,1.0,80.0,8.1,33.4,23.0,27.8,
43627,120.0,C ,3.0,1.0,77.0,3.4,33.6,24.0,28.6,4.8
43628,260.0,C ,2.0,1.0,76.0,7.6,33.0,25.0,28.8,
